,Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Region
80,Madagascar,2017,4.0786204339999985,7.255901337,0.626331985,58.70000076,0.570347905,-0.029692357000000006,0.847260773,0.751698077,0.374838024,0.541916132,-0.337169588,-0.934928179,2.328914881,SUB-SAHARAN AFRICA
81,Malawi,2017,3.416862965,6.998548031,0.555422723,56.90000153,0.847920775,0.017441062,0.734636605,0.608666539,0.312088341,0.620332539,-0.151014924,-0.610420644,2.760293245,SUB-SAHARAN AFRICA
82,Mali,2017,4.741850376,7.608029842,0.741359413,51.20000076,0.7532133459999999,-0.067120329,0.862655163,0.7418357729999999,0.392784148,0.504820108,-1.083188891,-0.730654597,2.511667967,SUB-SAHARAN AFRICA
83,Malta,2017,6.675665855,10.50543213,0.937331796,72.19999695,0.923642933,0.247621223,0.6904945370000001,0.720753372,0.302443117,0.75200516,1.217456341,1.042565584,1.994550347,WESTERN EUROPE
84,Mauritius,2017,6.174117565,9.918018341,0.910142243,66.09999847,0.912307501,0.077978596,0.818179905,0.7477601770000001,0.168721184,0.614670753,0.892901719,0.69395721,2.247790575,SUB-SAHARAN AFRICA
85,Mexico,2017,6.410299301,9.760567665,0.7998393770000001,68.0,0.8614051340000001,-0.20424206600000006,0.8008930679999999,0.842642307,0.230990887,0.25695315,-0.362546623,-0.330811292,2.236207247,LATIN AMER. & CARIB
86,Moldova,2017,5.325530529,8.554483414,0.83076793,64.30000305,0.552825212,-0.003629582,0.926333785,0.5814887879999999,0.259477794,0.132729635,-0.134786367,-0.440356493,1.885169268,C.W. OF IND. STATES
87,Mongolia,2017,5.333850384,9.379310607999999,0.924250782,62.09999847,0.674627423,0.104439713,0.8649522070000001,0.675165296,0.213599518,0.275058359,0.554071605,-0.283345133,2.095161676,ASIA (EX. NEAR EAST)
88,Montenegro,2017,5.614798546,9.705602646000001,0.881199837,68.30000305,0.625906289,-0.082077965,0.755680025,0.519128144,0.349785089,0.351549894,0.068295658,0.094668902,2.207511902,EASTERN EUROPE
89,Morocco,2017,5.312482834,8.920658112,0.6411930920000001,65.59999847,0.814258039,-0.227033943,0.8405024409999999,0.559288204,0.322715908,0.43982200000000005,-0.53093636,-0.173838362,2.287168264,NORTHERN AFRICA
