,Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"gini of household income reported in Gallup, by wp5-year"
384,Cyprus,2017,6.062051296,10.3863802,0.818671048,73.5,0.811670661,0.040062714,0.8512064220000001,0.7841884490000001,0.300516605,0.312653422,0.827816248,0.9045081140000001,2.369524956,0.390878409,0.41013842799999994
395,Czech Republic,2017,6.789567947,10.39224911,0.900968969,69.80000305,0.8317855,-0.178765178,0.866524994,0.738743961,0.22664979100000002,0.343870819,0.99339664,0.985034347,1.697134495,0.249962077,0.282945663
408,Denmark,2017,7.593702316,10.75112534,0.952100098,72.09999847,0.955416322,0.152028441,0.18114756,0.8236674070000001,0.20577530600000002,0.572353303,1.1904433970000001,1.868862629,1.66807425,0.219665483,0.630812943
425,Dominican Republic,2017,5.605202675,9.588835716,0.894368112,65.5,0.8553590179999999,-0.123324633,0.760489643,0.7389436359999999,0.27474552399999996,0.45990133299999997,0.158870548,-0.397110552,3.240837097,0.57818377,0.48091322200000003
438,Ecuador,2017,5.839518547000001,9.266903877,0.8489417429999999,68.19999695,0.879128158,-0.170977935,0.733588755,0.8291419740000001,0.314343482,0.640512884,-0.137001991,-0.655896366,2.693175316,0.46119818100000004,0.41333431
451,Egypt,2017,3.929344177,9.263900757,0.63822639,61.40000153,0.592504799,-0.159880474,0.8271353773333333,0.539322555,0.414493799,0.6034623483333332,-1.332292676,-0.63917017,2.289860725,0.5827590229999999,0.38081485
464,El Salvador,2017,6.339318275,8.8945961,0.82895261,65.80000305,0.757827342,-0.170792967,0.777748585,0.848850608,0.26844835300000003,0.27023506199999997,-0.046964772,-0.470085859,2.477155924,0.39076063,0.402195245
476,Estonia,2017,5.938395977000001,10.29150963,0.93568635,68.40000153,0.861749232,-0.104597919,0.668402255,0.805217981,0.160164103,0.405946255,0.93688798,1.320733786,1.8518398999999999,0.311841756,0.396599621
483,Ethiopia,2017,4.180315495,7.455834389,0.73353976,58.0,0.717101216,0.007518843000000001,0.75689894,0.608514786,0.304436177,0.768354297,-1.564677238,-0.6789866090000001,1.829915881,0.437745869,0.420267493
494,Finland,2017,7.788251877,10.61117172,0.963826418,71.80000305,0.962198973,-0.005695975,0.19241277899999998,0.787137091,0.176065788,0.59753859,1.311007023,1.999899864,1.4163982869999998,0.181863442,0.42561444600000004
507,France,2017,6.635222435,10.56115437,0.931494594,73.59999847,0.83389014,-0.127377018,0.601486027,0.762097776,0.241983935,0.37479353,0.67997849,1.301757574,1.631064415,0.24581910699999998,0.37285524600000003
515,Gabon,2017,4.782382965,9.714891434,0.806941152,59.20000076,0.652359545,-0.24707399300000002,0.8683055040000001,0.634047151,0.446124285,0.286989242,-0.571620047,-0.803622365,2.4571311469999997,0.513788044,0.58923018
517,Gambia,2017,4.117938995,7.353572845,0.697001517,54.70000076,0.812325835,0.126379773,0.571615577,0.838287175,0.27724719,0.7964932920000001,-0.42790508299999996,-0.5523322820000001,2.480230808,0.602299094,0.562509775
530,Georgia,2017,4.45077467,9.18451786,0.590495169,64.69999695,0.820908785,-0.23050585399999998,0.589631975,0.5811277029999999,0.20963960899999998,0.29639622600000004,-0.054174274,0.674269736,1.7750799659999998,0.39882496,0.454276502
543,Germany,2017,7.0743246079999995,10.71949959,0.8921660779999999,71.90000153,0.8407278659999999,0.141375408,0.414021194,0.7365657090000001,0.19643481100000001,0.622935653,0.982752085,1.737967253,1.441730261,0.20379757899999998,0.319597334
556,Ghana,2017,5.481310843999999,8.349396706,0.669111073,56.79999924,0.783046365,0.082861453,0.8386099929999999,0.702511728,0.247518942,0.670288563,0.339194328,-0.086163089,2.551119566,0.46542143799999997,0.50120151
567,Greece,2017,5.14824152,10.10945988,0.7528995279999999,72.19999695,0.43830001399999996,-0.291227311,0.87223947,0.60293901,0.332830757,0.139880896,0.291475028,0.12445531,2.411631107,0.46843782100000003,0.34670594299999996
580,Guatemala,2017,6.325118542,8.912446976,0.826492071,64.5,0.914521694,-0.059932402999999995,0.7997478840000001,0.845865786,0.30808615699999997,0.458623856,-0.427182585,-0.6736540790000001,2.858946085,0.45199880000000003,0.495318562
588,Guinea,2017,4.873722553,7.600365162,0.634025574,53.29999924,0.7382128240000001,0.046024639000000006,0.7500262259999999,0.704477131,0.422460884,0.639980793,-0.6735675329999999,-1.029090166,2.969935417,0.609377205,0.618353307
600,Haiti,2017,3.823865652,7.4104514120000005,0.646984994,55.5,0.484429151,0.380740523,0.647191584,0.5733667020000001,0.321692765,0.435076952,-0.7209035159999999,-1.4244407419999998,2.15694499,0.564074457,0.5744730229999999
